cycle,timestamp,carla_timestamp,task_timestamp,cpu_utility,memory_utility,core_index,TaskBreakActuator,TaskCamera,TaskController,TaskDashPanel,TaskDecisionMaker,TaskGlobalPlanner,TaskGNSSAndIMU,TaskIntersection,TaskLaneAware,TaskLaneKeeping,TaskPedestrianDetection,TaskRadar,TaskSelfLocalization,TaskThrottleSteeringDriver,TaskTrafficLightDetection,TaskTrafficSignDetection,TaskTurningLeft,TaskTurningRight,TaskUltrasonicSensor,TaskVehicleDetection,TaskVehicleFollowing,event_task_start,start_time,event_task_end,execution_time,slack_time_percentage,event_gnss,longitude,latitude,event_imu,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,compass,event_ultrasonic,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,event_radar,radar_distance,event_camera,c1,c2,c3,c4,c5,c6,c7,c8,event_self_localization,loc_x,loc_y,loc_z,rot_yaw,vel_x,vel_y,vel_z,event_gnss_is_none,event_red_traffic_light,event_traffic_sign,lane_change,left_lane_change,right_lane_change,event_global_path,global_remaining_points_len,event_vehicle_detection,v_distance,v_x,v_y,v_z,v_yaw,event_vehicle_detection_fail,event_pedestrian_detection,p_distance,p_x,p_y,p_z,p_yaw,event_pedestrian_detection_fail,event_lane_aware,l_x,l_y,l_z,event_lane_aware_fail,event_vehicle_following,event_lane_keeping,event_turning_left,event_turning_right,event_intersection,event_local_path,Local_remaining_points_len,event_controller,throttle,steer,brake,event_start_calc_local_context,event_transmit_local_context,event_start_calc_global_context,event_transmit_global_context,event_task_pause_and_resume_carla,event_task_pause_carla,event_new_timebase,new_timebase
0,1718093973,13.68240076,0.41934824,40.2,174.7265625,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1718093973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1718093973,13.68240076,0.423052073,0,175.0898438,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,-0.025519978,0,0,0,0,0,0,0,0,0
0,1718093973,13.68240076,0.42476964,25,175.0898438,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005438328,0.859741352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1718093973,13.68240076,0.605911493,16.5,175.4726563,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1718093973,13.68240076,3.12E-05,41.4,153.6328125,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1718093973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1718093973,13.68240076,0.016705513,12.5,153.6328125,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.016680241,0.822849457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1718093973,13.68240076,0.505913258,13.3,154.1757813,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1718093973,13.68240076,0.458095551,40.4,153.796875,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1718093973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1718093973,13.68240076,0.469370127,22.7,153.796875,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.011278391,0.76409928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1718093973,13.68240076,0.505929947,12,153.796875,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
